num_agents,edge_density,graph_type,dsan_temperature,num_actions,num_iterations,cost_range,y
90,0.25,barabasi_albert,0.75,10,500,51,14.106060606060607
75,0.25,complete,2.0,7,100,501,216.09235209235212
25,0.5,complete,5.0,8,50,51,21.695555555555554
100,0.9,barabasi_albert,1.0,9,1000,11,4.375
75,0.5,complete,1.0,7,100,11,5.046623407834655
75,0.25,erdos_renyi,10.0,5,100,4,1.9503574197925753
50,0.99,erdos_renyi,0.75,8,100,101,46.54560123377636
50,0.1,erdos_renyi,5.0,9,500,4,1.8560954614051959
10,0.5,complete,1.0,2,1000,101,42.303030303030305
75,0.5,complete,10.0,3,200,4,1.9375150204277816
100,0.99,erdos_renyi,1.0,2,1000,501,239.2926605229143
50,0.9,barabasi_albert,1.0,6,50,51,17.961240310077518
25,0.1,complete,2.0,2,1000,11,3.933333333333333
25,0.9,erdos_renyi,10.0,7,100,4,1.915594625500286
50,0.25,complete,0.75,8,200,11,4.696078431372549
75,0.75,erdos_renyi,0.75,7,1000,4,1.898304550857726
25,0.99,erdos_renyi,1.0,9,200,101,44.48763555020775
100,0.75,erdos_renyi,1.0,9,500,101,47.552067176887846
100,0.1,erdos_renyi,2.0,6,100,501,199.9258564952827
50,0.5,barabasi_albert,5.0,10,500,51,17.631944444444443
90,0.5,complete,0.75,8,1000,51,23.51831501831502
10,0.99,complete,5.0,2,1000,4,1.7727272727272727
25,0.75,erdos_renyi,1.0,7,500,101,41.16119622080539
50,0.75,barabasi_albert,5.0,4,100,4,1.847222222222222
50,0.25,complete,1.0,5,50,101,41.81045751633987
50,0.25,complete,10.0,4,50,51,21.046840958605664
90,0.99,complete,5.0,4,100,11,5.168768920282543
90,0.5,barabasi_albert,0.75,9,100,51,16.693181818181817
25,0.99,complete,10.0,9,200,51,22.48260381593715
50,0.75,erdos_renyi,2.0,3,500,11,4.9921244304498655
25,0.9,barabasi_albert,0.75,4,50,4,1.642276422764228
10,0.25,barabasi_albert,10.0,6,50,11,3.6666666666666665
75,0.25,barabasi_albert,0.75,8,500,4,1.5925925925925926
25,0.5,complete,2.0,5,50,4,1.8022222222222222
100,0.75,erdos_renyi,1.0,10,500,501,238.12648753605217
10,0.1,complete,1.0,4,200,4,1.25
25,0.1,erdos_renyi,10.0,6,200,51,16.567401960784313
25,0.99,barabasi_albert,2.0,5,50,4,1.725925925925926
10,0.99,erdos_renyi,5.0,5,1000,4,1.7196030068123092
25,0.75,complete,0.75,6,1000,4,1.751111111111111
50,0.75,erdos_renyi,2.0,3,100,11,4.9705617645838975
25,0.75,barabasi_albert,0.75,5,200,501,159.07843137254903
90,0.99,barabasi_albert,10.0,3,1000,11,4.71647509578544
50,0.99,barabasi_albert,5.0,7,200,51,19.25263157894737
90,0.1,complete,1.0,6,50,101,41.67333333333334
10,0.25,barabasi_albert,5.0,10,500,4,1.4166666666666667
100,0.5,erdos_renyi,0.75,10,100,4,1.9233295295419601
10,0.25,complete,0.75,5,200,101,36.84848484848485
100,0.5,complete,0.75,2,1000,51,23.782895622895623
75,0.9,barabasi_albert,2.0,9,500,4,1.806615776081425
100,0.5,complete,0.75,4,50,11,5.022760942760943
100,0.9,complete,2.0,5,50,11,5.127946127946128
90,0.1,complete,10.0,6,500,501,200.95916666666668
50,0.75,complete,5.0,8,100,11,5.092955700798838
50,0.1,complete,1.0,8,500,101,38.72950819672132
10,0.75,complete,0.75,3,200,11,4.252525252525252
100,0.1,complete,1.0,4,200,51,19.901683501683504
10,0.9,erdos_renyi,2.0,7,1000,51,15.180112570356473
50,0.99,complete,0.75,4,1000,11,4.927667766776678
10,0.1,erdos_renyi,10.0,5,200,501,109.9563492063492
50,0.75,erdos_renyi,2.0,5,200,501,221.63553453280142
100,0.99,erdos_renyi,2.0,2,200,4,1.9424707925657227
25,0.5,erdos_renyi,10.0,9,50,51,21.874442584051163
90,0.25,barabasi_albert,1.0,10,1000,501,162.50757575757575
50,0.25,barabasi_albert,5.0,4,500,11,4.166666666666667
50,0.99,barabasi_albert,5.0,6,100,501,180.79999999999998
90,0.5,barabasi_albert,1.0,2,50,101,38.18560606060606
25,0.9,complete,2.0,4,200,4,1.8012345679012345
