num_agents,edge_density,graph_type,dsan_temperature,num_actions,num_iterations,cost_range,y
50,0.25,complete,10.0,10,200,101,44.564052287581696
75,0.75,barabasi_albert,2.0,9,1000,101,38.36330275229358
100,0.5,barabasi_albert,1.0,6,500,51,17.20204081632653
100,0.5,barabasi_albert,5.0,3,100,51,17.96020408163265
25,0.25,barabasi_albert,1.0,8,500,51,13.881818181818181
25,0.9,barabasi_albert,5.0,8,200,501,173.01463414634148
75,0.1,erdos_renyi,1.0,10,100,101,43.58634627792323
90,0.9,erdos_renyi,5.0,5,50,11,5.217714901482991
90,0.9,barabasi_albert,1.0,10,50,11,4.800632911392405
100,0.5,barabasi_albert,5.0,6,500,51,18.39387755102041
90,0.99,erdos_renyi,5.0,9,50,101,48.66250108002881
100,0.1,erdos_renyi,5.0,2,50,4,1.917600715937504
90,0.99,complete,10.0,2,500,4,1.9599394550958629
75,0.9,erdos_renyi,2.0,10,50,11,5.293241197019449
25,0.25,barabasi_albert,10.0,3,50,101,28.136363636363637
75,0.75,complete,2.0,2,200,51,23.981691494473814
90,0.9,erdos_renyi,1.0,4,1000,4,1.9012916290392368
10,0.99,erdos_renyi,2.0,9,200,11,4.491660793986375
50,0.25,complete,10.0,2,200,4,1.9228758169934639
75,0.75,barabasi_albert,10.0,8,100,51,21.359633027522936
25,0.5,barabasi_albert,5.0,3,200,11,4.352173913043478
25,0.5,barabasi_albert,5.0,3,100,11,4.326086956521738
90,0.25,complete,1.0,5,200,51,22.537862137862138
100,0.1,complete,5.0,9,50,101,44.99515151515151
100,0.9,barabasi_albert,10.0,3,100,51,20.182954545454542
50,0.75,complete,5.0,10,500,4,1.952723311546841
100,0.25,barabasi_albert,5.0,9,500,4,1.8836734693877548
10,0.5,erdos_renyi,10.0,7,1000,11,4.707306240458415
10,0.25,erdos_renyi,2.0,5,500,51,13.076367137764194
100,0.75,complete,1.0,3,1000,51,23.61557112068966
50,0.9,complete,5.0,3,50,51,23.30744101633394
100,0.75,complete,5.0,3,500,11,5.1626885775862075
25,0.5,erdos_renyi,1.0,5,50,101,41.05902858197671
10,0.25,complete,0.75,9,500,4,1.581818181818182
10,0.1,complete,0.75,4,1000,101,24.1
90,0.1,erdos_renyi,10.0,10,1000,51,22.594852485529778
10,0.9,erdos_renyi,0.75,10,1000,51,19.709809707134095
25,0.25,complete,2.0,9,1000,11,4.672
50,0.9,complete,10.0,8,100,51,23.699001814882035
90,0.25,complete,0.75,10,50,51,23.634765234765236
75,0.99,complete,10.0,8,50,11,5.3074262832180565
75,0.25,barabasi_albert,0.75,8,50,11,4.027777777777778
90,0.75,complete,2.0,5,500,11,5.1212787212787205
10,0.99,complete,2.0,2,100,51,21.474999999999994
50,0.1,barabasi_albert,5.0,5,200,101,27.377777777777776
10,0.75,erdos_renyi,5.0,7,200,4,1.8752883880825055
90,0.75,barabasi_albert,10.0,9,500,101,41.471969696969694
100,0.9,complete,0.75,8,1000,11,5.264646464646465
75,0.99,barabasi_albert,5.0,9,100,51,21.199305555555554
90,0.9,barabasi_albert,5.0,5,200,4,1.9113924050632911
