num_agents,edge_density,graph_type,dsa_threshold,num_actions,num_iterations,cost_range,y
50,0.5,complete,0.5,3,100,4,1.9095860566448801
100,0.5,barabasi_albert,0.75,9,1000,4,1.6802721088435375
75,0.1,barabasi_albert,0.75,5,100,101,23.97619047619047
50,0.5,erdos_renyi,0.25,10,100,4,1.9493011908874978
25,0.25,barabasi_albert,0.75,10,50,101,34.75757575757576
100,0.1,complete,0.99,4,500,11,4.491582491582491
50,0.75,barabasi_albert,0.1,9,500,11,4.8657407407407405
100,0.25,complete,0.25,2,50,501,258.50633252492594
50,0.9,complete,0.9,5,200,501,231.2389594676346
25,0.1,barabasi_albert,0.1,7,200,4,1.4166666666666667
90,0.9,complete,0.5,7,50,11,5.40251572327044
10,0.9,erdos_renyi,0.9,9,500,501,199.80648148148148
75,0.99,erdos_renyi,0.99,9,200,501,239.54046271969972
100,0.5,erdos_renyi,0.1,2,100,501,259.01913585983664
90,0.5,complete,0.1,5,50,101,49.93606393606394
25,0.99,complete,0.9,6,100,51,23.145903479236818
100,0.1,complete,0.1,4,50,11,5.3999999999999995
50,0.99,barabasi_albert,0.9,8,50,4,1.7368421052631577
90,0.9,barabasi_albert,0.75,3,100,101,42.22362869198312
90,0.5,barabasi_albert,0.9,8,100,501,206.91666666666666
50,0.1,erdos_renyi,0.1,5,200,11,5.252607530253409
75,0.5,complete,0.5,3,100,501,243.30305215092525
100,0.25,erdos_renyi,0.5,9,200,101,48.4851072097718
75,0.1,barabasi_albert,0.9,7,500,11,3.0476190476190474
100,0.25,complete,0.99,2,50,501,225.29614659121532
100,0.5,barabasi_albert,0.1,3,50,101,50.3265306122449
100,0.75,barabasi_albert,0.99,9,50,11,4.435374149659864
50,0.25,complete,0.1,7,100,4,1.9389978213507628
75,0.5,complete,0.5,9,1000,4,1.938956981494833
50,0.25,barabasi_albert,0.5,2,1000,51,21.458333333333332
25,0.99,complete,0.5,9,500,11,5.22334455667789
25,0.25,barabasi_albert,0.9,6,100,501,142.69696969696972
75,0.75,erdos_renyi,0.9,5,50,101,47.47219117061147
25,0.5,barabasi_albert,0.75,4,200,501,184.24637681159422
90,0.99,complete,0.1,4,50,101,50.21501849983182
25,0.9,complete,0.9,5,200,4,1.8296296296296297
90,0.1,erdos_renyi,0.75,2,200,11,5.120963468156989
50,0.5,erdos_renyi,0.25,4,200,501,237.65223543520906
100,0.75,barabasi_albert,0.75,2,500,101,42.13832199546485
90,0.9,complete,0.1,8,50,11,5.436089530151683
25,0.5,barabasi_albert,0.25,2,1000,11,5.44927536231884
50,0.9,erdos_renyi,0.5,10,200,11,5.3416178602022475
90,0.1,erdos_renyi,0.25,10,500,4,1.9322539430786854
