num_agents,edge_density,graph_type,dsa_threshold,num_actions,num_iterations,cost_range,y
75,0.1,erdos_renyi,0.99,5,1000,11,4.0271317829457365
25,0.75,erdos_renyi,0.99,2,200,101,44.63179916317991
25,0.5,barabasi_albert,0.5,9,50,51,18.130434782608695
10,0.25,barabasi_albert,0.25,10,100,4,1.25
25,0.25,barabasi_albert,0.5,4,500,4,1.3636363636363635
90,0.25,erdos_renyi,0.99,10,500,501,226.31213307240705
10,0.1,complete,0.1,5,500,4,1.0
90,0.1,barabasi_albert,0.1,7,200,11,3.4705882352941178
25,0.25,complete,0.99,9,500,501,181.16
90,0.5,barabasi_albert,0.99,8,500,101,35.80681818181818
90,0.9,complete,0.25,3,1000,11,5.38984461709212
75,0.75,erdos_renyi,0.75,9,1000,501,234.11722141823444
100,0.25,complete,0.9,2,500,11,4.979789814066289
90,0.5,complete,0.5,6,100,501,240.01248751248752
10,0.99,complete,0.9,3,1000,501,189.4090909090909
25,0.9,complete,0.5,4,200,11,5.044444444444444
50,0.25,erdos_renyi,0.25,8,1000,501,221.91612903225806
75,0.1,erdos_renyi,0.1,2,1000,101,50.644444444444446
100,0.75,complete,0.1,10,200,4,1.9625538793103448
25,0.1,complete,0.1,9,500,11,4.2
25,0.99,barabasi_albert,0.75,8,200,51,17.42222222222222
10,0.25,complete,0.75,9,50,51,8.909090909090908
100,0.75,complete,0.9,9,500,51,24.177532327586206
25,0.9,complete,0.5,4,100,4,1.862962962962963
100,0.99,barabasi_albert,0.1,4,500,4,1.8917525773195876
100,0.75,barabasi_albert,0.25,5,1000,51,21.816326530612244
25,0.99,erdos_renyi,0.9,5,100,501,212.22558922558923
10,0.1,complete,0.75,9,100,4,1.0
25,0.25,complete,0.25,9,100,11,4.72
50,0.9,complete,0.75,7,500,11,5.1751361161524505
75,0.75,barabasi_albert,0.5,4,100,11,4.541284403669724
90,0.25,complete,0.99,6,500,501,214.3136863136863
75,0.9,barabasi_albert,0.5,4,100,11,4.740458015267175
90,0.99,barabasi_albert,0.1,6,1000,11,4.85632183908046
90,0.25,barabasi_albert,0.99,10,100,4,1.1818181818181819
75,0.25,complete,0.75,10,100,4,1.8831168831168832
25,0.1,erdos_renyi,0.75,7,500,11,3.40625
25,0.9,complete,0.5,6,200,101,44.074074074074076
25,0.75,erdos_renyi,0.99,7,500,501,211.83870967741936
25,0.1,erdos_renyi,0.99,7,1000,4,1.2285714285714286
90,0.25,barabasi_albert,0.25,5,1000,11,4.045454545454546
10,0.9,erdos_renyi,0.5,3,50,11,4.275
25,0.1,erdos_renyi,0.25,2,100,101,40.5
100,0.1,erdos_renyi,0.25,7,100,101,47.41313559322034
90,0.1,barabasi_albert,0.75,10,1000,4,1.1764705882352942
75,0.75,barabasi_albert,0.99,5,50,4,1.5321100917431192
10,0.5,erdos_renyi,0.1,7,500,11,3.7083333333333335
10,0.75,erdos_renyi,0.25,7,200,51,18.914285714285715
100,0.75,barabasi_albert,0.25,10,100,4,1.816326530612245
50,0.9,barabasi_albert,0.99,3,1000,501,179.41860465116278
10,0.25,barabasi_albert,0.1,9,50,51,13.5
25,0.9,barabasi_albert,0.5,7,50,11,4.121951219512195
90,0.1,complete,0.25,3,500,51,23.555
10,0.9,barabasi_albert,0.99,2,500,11,3.7857142857142856
10,0.75,erdos_renyi,0.99,5,100,101,31.483870967741936
90,0.1,complete,0.9,8,500,4,1.765
100,0.9,barabasi_albert,0.1,4,100,101,48.75
25,0.9,complete,0.1,4,1000,11,5.055555555555555
100,0.9,complete,0.25,4,50,501,245.1452300785634
10,0.99,erdos_renyi,0.5,2,500,11,4.5777777777777775
50,0.25,barabasi_albert,0.1,4,500,501,178.29166666666666
25,0.99,complete,0.25,7,200,101,45.387205387205384
75,0.9,complete,0.5,2,200,51,24.625951141369644
100,0.99,complete,0.5,3,1000,51,24.55530612244898
50,0.5,barabasi_albert,0.25,8,500,4,1.625
90,0.75,complete,0.9,7,50,4,1.9234099234099233
25,0.75,erdos_renyi,0.9,10,1000,101,39.2093023255814
